time;price
01/11;597.85
02/11;614.02
03/11;659.05
04/11;680.63
05/11;682.25
06/11;690.65
07/11;729.84
08/11;676.26
09/11;622.64
10/11;675.57
11/11;656.41
12/11;673.51
01/12;692.16
02/12;692.77
03/12;712.55
04/12;711.38
05/12;645.69
06/12;674.79
07/12;712.77
08/12;695.53
09/12;731.77
10/12;751.12
11/12;726.81
12/12;735.04
01/13;761.26
02/13;824.74
03/13;836.87
04/13;857.12
05/13;839.47
06/13;804
07/13;771.9
08/13;701.07
09/13;712.9
10/13;754.81
11/13;704.89
12/13;711.14
01/14;741.76
02/14;776.69
03/14;799.51
04/14;814.96
05/14;824.55
06/14;822.67
07/14;868.3
08/14;869.2
09/14;873.08
10/14;868.05
11/14;886.33
12/14;898.58
01/15;912.05
02/15;946.88
03/15;961.93
04/15;869.44
05/15;904.13
06/15;839.14
07/15;813.1
08/15;770.81
09/15;704.98
10/15;759.73
11/15;755.46
12/15;792.03
01/16;799.99
02/16;834.74
03/16;840.35
04/16;832.51
05/16;820.01
06/16;860.72
07/16;892.84
08/16;924.96
09/16;922.2
10/16;927.1
11/16;857.25
12/16;884.62
01/17;877.35
02/17;892.7
03/17;921.53
04/17;940.76
05/17;957.7
06/17;977.62
07/17;974.08
08/17;977.33
09/17;979.44
10/17;992.22
11/17;992.16
12/17;1079.39
01/18;1105.76
02/18;1100.28
03/18;1005.68
04/18;958.41
05/18;953.59
06/18;908.97
07/18;933.89
08/18;951.88
09/18;946.15
10/18;922.72
11/18;966.46
12/18;982.73
01/19;1038.97
02/19;1006.1
03/19;1019.03
04/19;1019.33
05/19;982.88
06/19;1013.96
07/19;1022.43
08/19;995.76
09/19;968.15
10/19;984.84
11/19;956.82
12/19;1014.47
01/20;961.98
02/20;879.53
03/20;691.13
04/20;713.64
05/20;725.83
06/20;756.2
07/20;803.01
08/20;824.19
09/20;737.15
10/20;790.5
11/20;883.06
12/20;934.89
